StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,NAT1,NAT2,NAT3,NAT4,NAT5,NAT6,PAT1,PAT2,PAT3,PAT4,PAT5,PAT6,PAT7,PAT8,PAT9,SDO1,SDO2,SDO3,SDO4,SDO5,SDO6,SDO7,SDO8,AUTH1,AUTH2,AUTH3,TRUMP,OFFIC_1,OFFIC_5,OFFIC_6,OFFIC_7,OFFIC_8,OFFIC_9,OFFIC_10,GEND,GEND_1,LIBCON,LEAN,PPP1,PPP1_4_TEXT,RSTRON,DSTRON,PLEAN,BORN,RACE,RACE_1,CITI,condition,MTurkCode,MemoryWords1,MemoryWords2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Consent metadata,"In view of America’s moral and material superiority, it is only right that we should have the biggest say in deciding United Nations policy.",This country must continue to lead the “Free World.”,"We should do anything necessary to increase the power of our country, even if it means war.",Sometimes it is necessary for our country to make war on other countries for their own good.,The important thing for the U.S. foreign aid program is to see to it that the U.S. gains a political advantage.,"Generally, the more influence America has on other nations, the better off they are.",I am proud to be American.,Flag burning should be illegal.,"In American public schools, every day should begin with the Pledge of Allegiance.",I believe in mandatory military service by all citizens of the United States in the armed forces.,The United States suffers when patriotism wanes.,Patriots are the ones who have made this country great.,Other countries should be happy to have American intervention and influence.,"In general, I’m glad to be American.",I would describe myself as a patriot.,An ideal society requires some groups to be on top and others to be on the bottom.,Some groups of people are simply inferior to other groups.,No one group should dominate in society.,Groups at the bottom are just as deserving as groups at the top.,Group equality should not be our primary goal.,It is unjust to try to make groups equal.,We should do what we can to equalize conditions for different groups.,We should work to give all groups an equal chance to succeed.,Our country needs a strong leader who will do what has to be done to stop the ways that are ruining us.,"What our country really needs is a strong, determined leader who will crush evil.",Obedience and respect for authority are the most important virtues children should learn.,Do you approve or disapprove of the way Donald Trump is handling his job as President?,"Using the sliders, please indicate how you feel right now toward the following public officials: - Elizabeth Warren","Using the sliders, please indicate how you feel right now toward the following public officials: - Donald Trump","Using the sliders, please indicate how you feel right now toward the following public officials: - Bernie Sanders","Using the sliders, please indicate how you feel right now toward the following public officials: - Nancy Pelosi","Using the sliders, please indicate how you feel right now toward the following public officials: - Mitch McConnell","Using the sliders, please indicate how you feel right now toward the following public officials: - Brett Kavanaugh","Using the sliders, please indicate how you feel right now toward the following public officials: - Joe Biden",What is your gender?,What is your gender?,"When it comes to politics, do you usually think of yourself as extremely liberal, somewhat liberal, slightly liberal, moderate or middle of the road, slightly conservative, somewhat conservative, extremely conservative, or haven't you thought much about this?","If you had to choose, would you consider yourself a liberal or a
conservative?","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an independent, or what? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an independent, or what? - Another party (please specify) - Text",Would you call yourself a strong Republican or a not very strong Republican?,Would you call yourself a strong Democrat or a not very strong Democrat?,Do you think of yourself as closer to the Republican Party or Democratic Party?,What year were you born?,How would you describe your ethnicity/race? (Please check all that apply),How would you describe your race/ethnicity?,Are you a citizen of the U.S.A.?,condition,MTurkCode,MemoryWords1,MemoryWords2
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}",Consent Metadata,"{""ImportId"":""QID416""}","{""ImportId"":""QID417""}","{""ImportId"":""QID418""}","{""ImportId"":""QID419""}","{""ImportId"":""QID420""}","{""ImportId"":""QID421""}","{""ImportId"":""QID428""}","{""ImportId"":""QID429""}","{""ImportId"":""QID430""}","{""ImportId"":""QID431""}","{""ImportId"":""QID432""}","{""ImportId"":""QID433""}","{""ImportId"":""QID434""}","{""ImportId"":""QID435""}","{""ImportId"":""QID436""}","{""ImportId"":""QID440""}","{""ImportId"":""QID441""}","{""ImportId"":""QID442""}","{""ImportId"":""QID443""}","{""ImportId"":""QID444""}","{""ImportId"":""QID445""}","{""ImportId"":""QID446""}","{""ImportId"":""QID447""}","{""ImportId"":""QID234""}","{""ImportId"":""QID236""}","{""ImportId"":""QID260""}","{""ImportId"":""QID389""}","{""ImportId"":""QID390_1""}","{""ImportId"":""QID390_5""}","{""ImportId"":""QID390_6""}","{""ImportId"":""QID390_7""}","{""ImportId"":""QID390_8""}","{""ImportId"":""QID390_9""}","{""ImportId"":""QID390_10""}","{""ImportId"":""QID80""}","{""ImportId"":""QID465_TEXT""}","{""ImportId"":""QID82""}","{""ImportId"":""QID188""}","{""ImportId"":""QID254""}","{""ImportId"":""QID254_4_TEXT""}","{""ImportId"":""QID255""}","{""ImportId"":""QID256""}","{""ImportId"":""QID257""}","{""ImportId"":""QID182""}","{""ImportId"":""QID81""}","{""ImportId"":""QID466_TEXT""}","{""ImportId"":""QID90""}","{""ImportId"":""condition""}","{""ImportId"":""MTurkCode""}","{""ImportId"":""MemoryWords1""}","{""ImportId"":""MemoryWords2""}"
2/10/20 12:39,2/10/20 12:43,IP Address,00.000.0.00,100,237,TRUE,2/10/20 12:43,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Slightly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Slightly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat approve,50,85,50,10,50,76,40,Male,,Slightly conservative,,Republican,,Not very strong Republican,,,1966,White or European American,,Yes,0,12345678,"happy,tree,fun","apple, good, bottle"
2/10/20 14:07,2/10/20 14:10,IP Address,00.000.0.00,100,167,TRUE,2/10/20 14:10,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Neither agree nor disagree,Slightly agree,Slightly disagree,Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Somewhat agree,Strongly disapprove,51,0,79,51,51,51,26,Male,,"Moderate, middle of the road",,Independent voter,,,,Neither party,1981,White or European American,,Yes,1,12345678,"happy, tree, bottle","apple, good , fun"
2/10/20 14:11,2/10/20 14:13,IP Address,00.000.0.00,100,150,TRUE,2/10/20 14:13,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disapprove,54,0,100,4,0,1,0,Male,,Very liberal,,Another party (please specify),Socialist,,,Democratic Party,1993,White or European American,,Yes,2,12345678,"apple, good, bottle","happy, tree, fun"
2/10/20 14:12,2/10/20 14:15,IP Address,00.000.0.00,100,200,TRUE,2/10/20 14:15,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Slightly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Slightly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disapprove,60,10,90,50,30,50,30,Female,,Somewhat liberal,,Democrat,,,Not very strong Democrat,,1987,White or European American,,Yes,0,12345678,"happy, good, bottle","apple, tree, fun"
2/10/20 14:13,2/10/20 14:16,IP Address,00.000.0.00,100,215,TRUE,2/10/20 14:16,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Strongly disapprove,80,0,100,51,1,0,26,Female,,"Moderate, middle of the road",,Democrat,,,Not very strong Democrat,,1980,"White or European American,Middle Eastern  or Arab American",,Yes,0,12345678,"apple, tree, happy","fun, good, bottle"
2/10/20 14:13,2/10/20 14:17,IP Address,00.000.0.00,100,213,TRUE,2/10/20 14:17,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Slightly agree,Strongly disagree,Somewhat disagree,Strongly disapprove,20,0,100,0,50,50,0,Female,,Somewhat liberal,,Democrat,,,Strong Democrat,,1976,White or European American,,Yes,2,12345678,"happy,tree,fun","apple, good, bottle"
2/10/20 14:12,2/10/20 14:17,IP Address,00.000.0.00,100,318,TRUE,2/10/20 14:17,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Slightly agree,Strongly disagree,Slightly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Slightly agree,Strongly approve,0,100,0,0,100,100,39,Female,,"Moderate, middle of the road",,Independent voter,,,,Neither party,1960,"White or European American,Native American, American Indian, or Alaskan Native",,Yes,2,12345678,"happy, tree, bottle","apple, good , fun"
2/10/20 14:14,2/10/20 14:18,IP Address,00.000.0.00,100,255,TRUE,2/10/20 14:18,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Slightly disagree,Neither agree nor disagree,Slightly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disapprove,83,0,100,76,29,51,63,Female,,Very liberal,,Independent voter,,,,Democratic Party,,White or European American,,Yes,1,12345678,"apple, good, bottle","happy, tree, fun"
2/10/20 14:09,2/10/20 14:11,IP Address,00.000.0.00,12,129,FALSE,2/10/20 18:11,R_0000000000000000,,,,,0,0,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,0,12345678,"happy, good, bottle","apple, tree, fun"
2/10/20 14:28,2/10/20 14:28,IP Address,00.000.0.00,12,8,FALSE,2/10/20 18:29,R_0000000000000000,,,,,0,0,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,2,12345678,"apple, tree, happy","fun, good, bottle"
2/12/20 18:48,2/12/20 18:50,IP Address,00.000.0.00,100,131,TRUE,2/12/20 18:50,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disapprove,95,0,95,90,0,0,75,Male,,Very liberal,,Democrat,,,Strong Democrat,,1981,White or European American,,Yes,0,12345678,"happy,tree,fun","apple, good, bottle"
2/12/20 18:48,2/12/20 18:50,IP Address,00.000.0.00,100,142,TRUE,2/12/20 18:50,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat agree,Somewhat agree,Slightly disagree,Slightly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly disagree,Somewhat agree,Somewhat disagree,Slightly agree,Somewhat agree,Slightly disagree,Somewhat disagree,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Somewhat disagree,Somewhat approve,22,72,17,29,55,53,36,Male,,Somewhat conservative,,Republican,,Not very strong Republican,,,1982,White or European American,,Yes,1,12345678,"happy, tree, bottle","apple, good , fun"
2/12/20 18:48,2/12/20 18:50,IP Address,00.000.0.00,100,133,TRUE,2/12/20 18:50,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disapprove,100,0,0,92,0,0,20,Male,,"Moderate, middle of the road",,Democrat,,,Not very strong Democrat,,1980,White or European American,,Yes,0,12345678,"apple, good, bottle","happy, tree, fun"
2/12/20 18:48,2/12/20 18:50,IP Address,00.000.0.00,100,105,TRUE,2/12/20 18:50,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Somewhat agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Somewhat disapprove,69,22,74,68,42,49,72,Female,,Somewhat liberal,,Democrat,,,Not very strong Democrat,,1997,White or European American,,Yes,2,12345678,"happy, good, bottle","apple, tree, fun"
2/12/20 18:48,2/12/20 18:50,IP Address,00.000.0.00,100,158,TRUE,2/12/20 18:50,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Slightly disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Somewhat agree,Slightly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Slightly approve,0,25,0,0,20,15,5,Female,,"Moderate, middle of the road",,Independent voter,,,,Republican Party,1985,White or European American,,Yes,2,12345678,"apple, tree, happy","fun, good, bottle"
2/12/20 18:48,2/12/20 18:51,IP Address,00.000.0.00,100,147,TRUE,2/12/20 18:51,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Somewhat agree,Strongly agree,Somewhat agree,Slightly agree,Strongly agree,Somewhat agree,Strongly agree,Slightly disagree,Somewhat agree,Somewhat agree,Strongly agree,Slightly disagree,Slightly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Slightly approve,0,95,0,0,20,90,0,Male,,Slightly conservative,,Republican,,Not very strong Republican,,,1994,"East Asian or Asian American,Hawaiian American or Pacific Islander",,Yes,0,12345678,"happy,tree,fun","apple, good, bottle"
2/12/20 18:48,2/12/20 18:51,IP Address,00.000.0.00,100,174,TRUE,2/12/20 18:51,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Slightly agree,Strongly disagree,Strongly disagree,Slightly disagree,Somewhat disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disapprove,90,0,75,60,0,0,25,Female,,Somewhat liberal,,Democrat,,,Strong Democrat,,1978,White or European American,,Yes,1,12345678,"happy, tree, bottle","apple, good , fun"
2/12/20 18:48,2/12/20 18:51,IP Address,00.000.0.00,100,188,TRUE,2/12/20 18:51,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disapprove,100,0,0,100,0,0,32,Female,,Very liberal,,Democrat,,,Strong Democrat,,1972,White or European American,,Yes,2,12345678,"apple, good, bottle","happy, tree, fun"
2/12/20 18:50,2/12/20 18:52,IP Address,00.000.0.00,100,94,TRUE,2/12/20 18:52,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disapprove,51,0,87,51,0,0,43,Female,,Very liberal,,Democrat,,,Strong Democrat,,1996,White or European American,,Yes,0,12345678,"happy, good, bottle","apple, tree, fun"
2/12/20 18:49,2/12/20 18:52,IP Address,00.000.0.00,100,164,TRUE,2/12/20 18:52,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Slightly agree,Strongly agree,Strongly disagree,Strongly disagree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Somewhat agree,Slightly disagree,Slightly disagree,Slightly disagree,Somewhat agree,Strongly agree,Somewhat agree,Slightly agree,Slightly disagree,Strongly agree,Slightly disagree,Somewhat disagree,Slightly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat approve,79,75,95,97,63,61,80,Male,,Slightly liberal,,Independent voter,,,,Democratic Party,1990,"Black, Afro-Caribbean, or African American",,Yes,0,12345678,"apple, tree, happy","fun, good, bottle"
2/12/20 18:49,2/12/20 18:52,IP Address,00.000.0.00,100,210,TRUE,2/12/20 18:52,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Slightly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disapprove,100,0,100,33,0,6,18,Female,,Very liberal,,Democrat,,,Strong Democrat,,1972,White or European American,,Yes,1,12345678,"happy,tree,fun","apple, good, bottle"
2/12/20 18:48,2/12/20 18:52,IP Address,00.000.0.00,100,236,TRUE,2/12/20 18:52,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat approve,100,100,100,80,80,100,100,Female,,Somewhat conservative,,Republican,,Strong Republican,,,1976,White or European American,,Yes,1,12345678,"happy, tree, bottle","apple, good , fun"
2/12/20 18:50,2/12/20 18:52,IP Address,00.000.0.00,100,125,TRUE,2/12/20 18:52,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Slightly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Slightly disagree,Slightly disagree,Strongly disagree,Somewhat disapprove,30,20,55,30,30,30,29,Male,,Slightly liberal,,Democrat,,,Not very strong Democrat,,1992,White or European American,,Yes,1,12345678,"apple, good, bottle","happy, tree, fun"
2/12/20 18:49,2/12/20 18:53,IP Address,00.000.0.00,100,206,TRUE,2/12/20 18:53,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disapprove,86,0,75,79,0,5,71,Male,,Somewhat liberal,,Democrat,,,Strong Democrat,,1955,White or European American,,Yes,2,12345678,"happy, good, bottle","apple, tree, fun"
2/12/20 18:49,2/12/20 18:53,IP Address,00.000.0.00,100,195,TRUE,2/12/20 18:53,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither approve nor disapprove,50,50,50,50,50,50,50,Male,,Very liberal,,Independent voter,,,,Neither party,1993,White or European American,,Yes,1,12345678,"apple, tree, happy","fun, good, bottle"
