StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,NAT1,NAT2,NAT3,NAT4,NAT5,NAT6,PAT1,PAT2,PAT3,PAT4,PAT5,PAT6,PAT7,PAT8,PAT9,SDO1,SDO2,SDO3,SDO4,SDO5,SDO6,SDO7,SDO8,AUTH1,AUTH2,AUTH3,TRUMP,OFFIC_1,OFFIC_5,OFFIC_6,OFFIC_7,OFFIC_8,OFFIC_9,OFFIC_10,GEND,GEND_1,LIBCON,LEAN,PPP1,PPP1_4_TEXT,RSTRON,DSTRON,PLEAN,BORN,RACE,RACE_1,CITI,condition,MTurkCode,MemoryWords1,MemoryWords2
2/12/20 18:48,2/12/20 18:53,IP Address,00.000.0.00,100,265,TRUE,2/12/20 18:53,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disapprove,85,0,85,55,0,0,50,Male,,Somewhat liberal,,Democrat,,,Strong Democrat,,1984,White or European American,,Yes,1,12345678,"happy,tree,fun","apple, good, bottle"
2/12/20 18:50,2/12/20 18:53,IP Address,00.000.0.00,100,138,TRUE,2/12/20 18:53,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disapprove,45,0,100,30,0,0,15,Male,,"Moderate, middle of the road",,Independent voter,,,,Democratic Party,1982,White or European American,,Yes,0,12345678,"happy, tree, bottle","apple, good , fun"
2/12/20 18:52,2/12/20 18:53,IP Address,00.000.0.00,100,66,TRUE,2/12/20 18:53,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disapprove,81,75,72,56,76,83,72,Male,,Somewhat liberal,,Independent voter,,,,Democratic Party,,White or European American,,Yes,2,12345678,"apple, good, bottle","happy, tree, fun"
2/12/20 18:51,2/12/20 18:53,IP Address,00.000.0.00,100,145,TRUE,2/12/20 18:53,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Neither agree nor disagree,Slightly agree,Somewhat disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disapprove,77,0,85,58,8,7,52,Female,,Somewhat liberal,,Democrat,,,Not very strong Democrat,,1967,White or European American,,Yes,1,12345678,"happy, good, bottle","apple, tree, fun"
2/12/20 18:48,2/12/20 18:54,IP Address,00.000.0.00,100,330,TRUE,2/12/20 18:54,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Somewhat disagree,Strongly disagree,Slightly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Slightly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disapprove,66,0,98,30,0,1,9,Male,,Very liberal,,Independent voter,,,,Democratic Party,1983,"White or European American,East Asian or Asian American,Hawaiian American or Pacific Islander",,Yes,2,12345678,"apple, tree, happy","fun, good, bottle"
2/12/20 18:50,2/12/20 18:54,IP Address,00.000.0.00,100,241,TRUE,2/12/20 18:54,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Strongly disapprove,50,0,50,0,0,0,50,Female,,Slightly liberal,,Democrat,,,Not very strong Democrat,,1969,My race/ethnicity is not listed,Multiracial,Yes,1,12345678,"happy,tree,fun","apple, good, bottle"
2/12/20 18:48,2/12/20 18:54,IP Address,00.000.0.00,100,350,TRUE,2/12/20 18:54,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Slightly disagree,Strongly disagree,Slightly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Slightly agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Slightly disagree,Strongly agree,Slightly agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disapprove,100,0,72,55,10,11,51,Female,,Somewhat liberal,,Democrat,,,Strong Democrat,,1968,White or European American,,Yes,0,12345678,"happy, tree, bottle","apple, good , fun"
2/12/20 18:51,2/12/20 18:54,IP Address,00.000.0.00,100,211,TRUE,2/12/20 18:54,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat disagree,Neither agree nor disagree,Slightly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Slightly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Somewhat disapprove,66,30,60,79,51,47,76,Female,,Somewhat liberal,,Democrat,,,Not very strong Democrat,,1982,White or European American,,Yes,0,12345678,"apple, good, bottle","happy, tree, fun"
2/12/20 18:48,2/12/20 18:54,IP Address,00.000.0.00,100,403,TRUE,2/12/20 18:54,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat agree,Strongly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Slightly disagree,Slightly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Slightly agree,Somewhat agree,Somewhat agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Slightly disapprove,18,28,15,29,14,14,44,Female,,Slightly liberal,,Democrat,,,Not very strong Democrat,,1996,White or European American,,Yes,1,12345678,"happy, good, bottle","apple, tree, fun"
2/12/20 18:50,2/12/20 18:55,IP Address,00.000.0.00,100,257,TRUE,2/12/20 18:55,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly agree,Neither agree nor disagree,Slightly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither approve nor disapprove,51,51,51,51,51,51,51,Male,,"Moderate, middle of the road",,Independent voter,,,,Neither party,1993,White or European American,,Yes,2,12345678,"apple, tree, happy","fun, good, bottle"
2/12/20 18:53,2/12/20 18:55,IP Address,00.000.0.00,100,135,TRUE,2/12/20 18:55,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Slightly disagree,Slightly disagree,Slightly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disapprove,60,0,88,71,0,2,47,Male,,Somewhat liberal,,Democrat,,,Not very strong Democrat,,1982,White or European American,,Yes,1,12345678,"happy,tree,fun","apple, good, bottle"
2/12/20 18:53,2/12/20 18:55,IP Address,00.000.0.00,100,107,TRUE,2/12/20 18:55,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disapprove,85,0,100,75,0,0,25,Male,,Very liberal,,Democrat,,,Strong Democrat,,1994,White or European American,,Yes,0,12345678,"happy, tree, bottle","apple, good , fun"
2/12/20 18:50,2/12/20 18:55,IP Address,00.000.0.00,100,292,TRUE,2/12/20 18:55,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Slightly agree,Slightly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Slightly agree,Strongly agree,Somewhat agree,Strongly agree,Slightly agree,Strongly approve,0,100,0,0,100,100,0,Male,,Somewhat conservative,,Independent voter,,,,Republican Party,1967,White or European American,,Yes,2,12345678,"apple, good, bottle","happy, tree, fun"
2/12/20 18:53,2/12/20 18:56,IP Address,00.000.0.00,100,200,TRUE,2/12/20 18:56,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Slightly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disapprove,65,0,90,50,0,15,40,Male,,Somewhat liberal,,Democrat,,,Strong Democrat,,1980,White or European American,,Yes,2,12345678,"happy, good, bottle","apple, tree, fun"
2/12/20 18:48,2/12/20 18:57,IP Address,00.000.0.00,100,533,TRUE,2/12/20 18:57,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat agree,Somewhat agree,Slightly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat approve,0,71,0,0,19,92,0,Female,,Somewhat conservative,,Republican,,Strong Republican,,,1956,White or European American,,Yes,0,12345678,"apple, tree, happy","fun, good, bottle"
2/12/20 18:54,2/12/20 18:57,IP Address,00.000.0.00,100,140,TRUE,2/12/20 18:57,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disapprove,40,0,100,92,45,0,0,Female,,Somewhat liberal,,Independent voter,,,,Democratic Party,1987,"Black, Afro-Caribbean, or African American",,Yes,2,12345678,"happy,tree,fun","apple, good, bottle"
2/12/20 18:56,2/12/20 18:57,IP Address,00.000.0.00,100,92,TRUE,2/12/20 18:57,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Slightly disagree,Somewhat agree,Somewhat agree,Slightly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Slightly agree,Somewhat agree,Somewhat agree,Slightly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Slightly agree,Slightly agree,Somewhat approve,72,63,30,89,82,99,100,Female,,Very liberal,,Independent voter,,,,Republican Party,2000,White or European American,,Yes,2,12345678,"happy, tree, bottle","apple, good , fun"
2/12/20 18:51,2/12/20 18:57,IP Address,00.000.0.00,100,357,TRUE,2/12/20 18:57,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Neither agree nor disagree,Strongly agree,Slightly disagree,Somewhat agree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Somewhat agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Somewhat agree,Somewhat agree,Slightly agree,Somewhat approve,8,81,2,2,52,51,22,Female,,Slightly conservative,,Republican,,,,,1980,White or European American,,Yes,2,12345678,"apple, good, bottle","happy, tree, fun"
2/12/20 18:51,2/12/20 18:57,IP Address,00.000.0.00,100,408,TRUE,2/12/20 18:57,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disapprove,51,0,100,0,0,0,51,Male,,Very liberal,,Democrat,,,Not very strong Democrat,,1966,White or European American,,Yes,0,12345678,"happy, good, bottle","apple, tree, fun"
2/12/20 18:56,2/12/20 18:58,IP Address,00.000.0.00,100,123,TRUE,2/12/20 18:58,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Slightly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disapprove,100,0,100,89,0,51,73,Female,,Very liberal,,Democrat,,,Strong Democrat,,1991,White or European American,,Yes,0,12345678,"apple, tree, happy","fun, good, bottle"
2/12/20 18:55,2/12/20 18:58,IP Address,00.000.0.00,100,179,TRUE,2/12/20 18:58,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Slightly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Slightly agree,Strongly agree,Slightly approve,85,59,64,79,65,40,71,Male,,Somewhat conservative,,Democrat,,,Not very strong Democrat,,1986,White or European American,,Yes,0,12345678,"happy,tree,fun","apple, good, bottle"
2/12/20 18:56,2/12/20 18:58,IP Address,00.000.0.00,100,111,TRUE,2/12/20 18:58,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disapprove,69,0,11,71,1,0,79,Female,,Very liberal,,Democrat,,,Strong Democrat,,1980,"White or European American,East Asian or Asian American",,Yes,2,12345678,"happy, tree, bottle","apple, good , fun"
2/12/20 18:49,2/12/20 18:58,IP Address,00.000.0.00,100,575,TRUE,2/12/20 18:59,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat agree,Strongly agree,Slightly disagree,Slightly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Slightly disapprove,65,17,48,54,30,36,59,Male,,Slightly liberal,,Democrat,,,Not very strong Democrat,,1984,White or European American,,Yes,1,12345678,"apple, good, bottle","happy, tree, fun"
2/12/20 18:55,2/12/20 18:59,IP Address,00.000.0.00,100,235,TRUE,2/12/20 18:59,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disapprove,90,0,70,90,0,0,20,Female,,Somewhat liberal,,Democrat,,,Strong Democrat,,1967,"White or European American,Native American, American Indian, or Alaskan Native",,Yes,1,12345678,"happy, good, bottle","apple, tree, fun"
2/12/20 18:56,2/12/20 18:59,IP Address,00.000.0.00,100,176,TRUE,2/12/20 18:59,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Neither agree nor disagree,Slightly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Slightly agree,Neither agree nor disagree,Slightly disagree,Somewhat agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly approve,50,90,0,0,40,20,10,Female,,Somewhat conservative,,Republican,,Strong Republican,,,1986,White or European American,,Yes,1,12345678,"apple, tree, happy","fun, good, bottle"
2/12/20 18:56,2/12/20 18:59,IP Address,00.000.0.00,100,204,TRUE,2/12/20 18:59,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Slightly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disapprove,90,0,80,89,0,0,40,Female,,Very liberal,,Independent voter,,,,Democratic Party,1974,"White or European American,East Asian or Asian American,Middle Eastern  or Arab American",,Yes,0,12345678,"happy,tree,fun","apple, good, bottle"
2/12/20 18:56,2/12/20 19:00,IP Address,00.000.0.00,100,227,TRUE,2/12/20 19:00,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Slightly disagree,Slightly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Slightly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Slightly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disapprove,65,0,100,63,0,31,40,Male,,Very liberal,,Democrat,,,Strong Democrat,,1986,White or European American,,Yes,1,12345678,"happy, tree, bottle","apple, good , fun"
2/12/20 18:53,2/12/20 19:00,IP Address,00.000.0.00,100,428,TRUE,2/12/20 19:00,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat agree,Strongly agree,Slightly disagree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat approve,50,85,82,50,40,40,45,Male,,Very conservative,,Republican,,Not very strong Republican,,,1973,White or European American,,Yes,1,12345678,"apple, good, bottle","happy, tree, fun"
2/12/20 18:57,2/12/20 19:00,IP Address,00.000.0.00,100,169,TRUE,2/12/20 19:00,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Slightly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disapprove,79,1,100,50,50,50,89,Female,,Very liberal,,Democrat,,,Strong Democrat,,1982,White or European American,,Yes,0,12345678,"happy, good, bottle","apple, tree, fun"
2/12/20 18:58,2/12/20 19:00,IP Address,00.000.0.00,100,134,TRUE,2/12/20 19:00,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Slightly disagree,Slightly agree,Strongly disagree,Strongly disagree,Slightly disagree,Slightly disagree,Neither agree nor disagree,Strongly disagree,Slightly agree,Slightly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disapprove,38,0,66,43,0,0,18,Male,,Somewhat liberal,,Independent voter,,,,Democratic Party,1981,White or European American,,Yes,2,12345678,"apple, tree, happy","fun, good, bottle"
2/12/20 18:57,2/12/20 19:01,IP Address,00.000.0.00,100,252,TRUE,2/12/20 19:01,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Slightly disagree,Slightly agree,Slightly disagree,Somewhat disagree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly approve,51,100,25,0,50,50,71,Female,,Very conservative,,Republican,,Strong Republican,,,1949,White or European American,,Yes,2,12345678,"happy,tree,fun","apple, good, bottle"
2/12/20 18:58,2/12/20 19:01,IP Address,00.000.0.00,100,182,TRUE,2/12/20 19:01,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disapprove,70,0,90,50,50,0,100,Female,,Somewhat liberal,,Democrat,,,Strong Democrat,,1985,"Black, Afro-Caribbean, or African American",,Yes,1,12345678,"happy, tree, bottle","apple, good , fun"
